SYMBOL,NAME OF COMPANY, PAID UP VALUE, MARKET LOT, FACE VALUE
RSSOFTWARE,R. S. Software (India) Limited,5,1,5
RSWM,RSWM Limited,10,1,10
RSYSTEMS,R Systems International Limited,1,1,1
RTNINFRA,RattanIndia Infrastructure Limited,2,1,2
RTNPOWER,RattanIndia Power Limited,10,1,10
RUBYMILLS,The Ruby Mills Limited,5,1,5
RUCHINFRA,Ruchi Infrastructure Limited,1,1,1
RUCHIRA,Ruchira Papers Limited,10,1,10
RUCHISOYA,Ruchi Soya Industries Limited,2,1,2
RUPA,Rupa & Company Limited,1,1,1
RUSHIL,Rushil Decor Limited,10,1,10
SABEVENTS,Sab Events & Governance Now Media Limited,10,1,10
SABTN,Sri Adhikari Brothers Television Network Limited,10,1,10
SADBHAV,Sadbhav Engineering Limited,1,1,1
SADBHIN,Sadbhav Infrastructure Project Limited,10,1,10
SAGARDEEP,Sagardeep Alloys Limited,10,1,10
SAGCEM,Sagar Cements Limited,10,1,10
SAIL,Steel Authority of India Limited,10,1,10
SAKHTISUG,Sakthi Sugars Limited,10,1,10
SAKSOFT,Saksoft Limited,10,1,10
SAKUMA,Sakuma Exports Limited,1,1,1
SALASAR,Salasar Techno Engineering Limited,10,1,10
SALONA,Salona Cotspin Limited,10,1,10
SALORAINTL,Salora International Limited,10,1,10
SALSTEEL,S.A.L. Steel Limited,10,1,10
SALZERELEC,Salzer Electronics Limited,10,1,10
SAMBHAAV,Sambhaav Media Limited,1,1,1
SANCO,Sanco Industries Limited,10,1,10
SANDESH,The Sandesh Limited,10,1,10
SANDHAR,Sandhar Technologies Limited,10,1,10
SANGAMIND,Sangam (India) Limited,10,1,10
SANGHIIND,Sanghi Industries Limited,10,1,10
SANGHVIFOR,Sanghvi Forging and Engineering Limited,10,1,10
SANGHVIMOV,Sanghvi Movers Limited,2,1,2
SANOFI,Sanofi India Limited,10,1,10
SANWARIA,Sanwaria Consumer Limited,1,1,1
SARDAEN,Sarda Energy & Minerals Limited,10,1,10
SAREGAMA,Saregama India Limited,10,1,10
SARLAPOLY,Sarla Performance Fibers Limited,1,1,1
SASKEN,Sasken Technologies Limited,10,1,10
SASTASUNDR,Sastasundar Ventures Limited,10,1,10
SATHAISPAT,Sathavahana Ispat Limited,10,1,10
SATIN,Satin Creditcare Network Limited,10,1,10
SBILIFE,SBI Life Insurance Company Limited,10,1,10
SBIN,State Bank of India,1,1,1
SCAPDVR,Stampede Capital Limited,1,1,1
SCHAEFFLER,Schaeffler India Limited,10,1,10
SCHAND,S Chand And Company Limited,5,1,5
SCHNEIDER,Schneider Electric Infrastructure Limited,2,1,2
SCI,Shipping Corporation Of India Limited,10,1,10
SDBL,Som Distilleries & Breweries Limited,10,1,10
SEAMECLTD,Seamec Limited,10,1,10
SELAN,Selan Exploration Technology Limited,10,1,10
SELMCL,SEL Manufacturing Company Limited,10,1,10
SEPOWER,S.E. Power Limited,10,1,10
SEQUENT,Sequent Scientific Limited,2,1,2
SESHAPAPER,Seshasayee Paper and Boards Limited,10,1,10
SETCO,Setco Automotive Limited,2,1,2
SFL,Sheela Foam Limited,5,1,5
SGFL,Shree Ganesh Forgings Limited,10,1,10
SGL,STL Global Limited,10,1,10
SHAHALLOYS,Shah Alloys Limited,10,1,10
SHAKTIPUMP,Shakti Pumps (India) Limited,10,1,10
SHALBY,Shalby Limited,10,1,10
SHALPAINTS,Shalimar Paints Limited,2,1,2
SHANKARA,Shankara Building Products Limited,10,1,10
SHANTIGEAR,Shanthi Gears Limited,1,1,1
SHARDACROP,Sharda Cropchem Limited,10,1,10
SHARDAMOTR,Sharda Motor Industries Limited,10,1,10
SHARONBIO,Sharon Bio-Medicine Limited,2,1,2
SHEMAROO,Shemaroo Entertainment Limited,10,1,10
SHILPAMED,Shilpa Medicare Limited,1,1,1
SHILPI,Shilpi Cable Technologies Limited,10,1,10
SHIRPUR-G,Shirpur Gold Refinery Limited,10,1,10
SHIVAMAUTO,Shivam Autotech Limited,2,1,2
SHIVAMILLS,Shiva Mills Limited,10,1,10
SHIVATEX,Shiva Texyarn Limited,10,1,10
SHK,S H Kelkar and Company Limited,10,1,10
SHOPERSTOP,Shoppers Stop Limited,5,1,5
SHREECEM,SHREE CEMENT LIMITED,10,1,10
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,10,1,10
SHREERAMA,Shree Rama Multi-Tech Limited,5,1,5
SHREYANIND,Shreyans Industries Limited,10,1,10
SHREYAS,Shreyas Shipping & Logistics Limited,10,1,10
SHRIPISTON,Shriram Pistons & Rings Limited,10,1,10
SHRIRAMCIT,Shriram City Union Finance Limited,10,1,10
SHRIRAMEPC,Shriram EPC Limited,10,1,10
SHYAMCENT,Shyam Century Ferrous Limited,1,1,1
SHYAMTEL,Shyam Telecom Limited,10,1,10
SICAGEN,Sicagen India Limited,10,1,10
SICAL,Sical Logistics Limited,10,1,10
SIEMENS,Siemens Limited,2,1,2
SIGIND,Signet Industries Limited,10,1,10
SIL,Standard Industries Limited,5,1,5
SILINV,SIL Investments Limited,10,1,10
SIMBHALS,Simbhaoli Sugars Limited,10,1,10
SIMPLEXINF,Simplex Infrastructures Limited,2,1,2
SINTEX,Sintex Industries Limited,1,1,1
SIS,Security and Intelligence Services (India) Limited,10,1,10
SITASHREE,Sita Shree Food Products Limited,10,1,10
SITINET,Siti Networks Limited,1,1,1
SIYSIL,Siyaram Silk Mills Limited,2,1,2
SJVN,SJVN Limited,10,1,10
SKFINDIA,SKF India Limited,10,1,10
SKIL,SKIL Infrastructure Limited,10,1,10
SKIPPER,Skipper Limited,1,1,1
SKMEGGPROD,SKM Egg Products Export (India) Limited,10,1,10
SMARTLINK,Smartlink Holdings Limited,2,1,2
SMLISUZU,SML Isuzu Limited,10,1,10
SMPL,Splendid Metal Products Limited,5,1,5
SMSLIFE,SMS Lifesciences India Limited,10,1,10
SMSPHARMA,SMS Pharmaceuticals Limited,1,1,1
SNOWMAN,Snowman Logistics Limited,10,1,10
SOBHA,Sobha Limited,10,1,10
SOLARA,Solara Active Pharma Sciences Limited,10,1,10
SOLARINDS,Solar Industries India Limited,2,1,2
SOMANYCERA,Somany Ceramics Limited,2,1,2
SOMATEX,Soma Textiles & Industries Limited,10,1,10
SOMICONVEY,Somi Conveyor Beltings Limited,10,1,10
SONATSOFTW,Sonata Software Limited,1,1,1
SORILINFRA,SORIL Infra Resources Limited,10,1,10
SOTL,Savita Oil Technologies Limited,10,1,10
SOUTHBANK,The South Indian Bank Limited,1,1,1
SPAL,S. P. Apparels Limited,10,1,10
SPARC,Sun Pharma Advanced Research Company Limited,1,1,1
SPCENET,Spacenet Enterprises India Limited,1,1,1
SPECIALITY,Speciality Restaurants Limited,10,1,10
SPENCERS,Spencer's Retail Limited,5,1,5
SPENTEX,Spentex Industries Limited,10,1,10
SPIC,Southern Petrochemicals Industries Corporation  Limited,10,1,10
SPICEMOBI,Spice Mobility Limited,3,1,3
SPLIL,SPL Industries Limited,10,1,10
SPMLINFRA,SPML Infra Limited,2,1,2
SPTL,Sintex Plastics Technology Limited,1,1,1
SPYL,Shekhawati Poly-Yarn Limited,1,1,1
SQSBFSI,SQS India BFSI Limited,10,1,10
SREEL,Sreeleathers Limited,10,1,10
SREINFRA,SREI Infrastructure Finance Limited,10,1,10
SRF,SRF Limited,10,1,10
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,10,1,10
SRIPIPES,Srikalahasthi Pipes Limited,10,1,10
SRSLTD,SRS Limited,10,1,10
SRTRANSFIN,Shriram Transport Finance Company Limited,10,1,10
SSWL,Steel Strips Wheels Limited,10,1,10
STAMPEDE,Stampede Capital Limited,1,1,1
STAR,Strides Pharma Science Limited,10,1,10
STARCEMENT,Star Cement Limited,1,1,1
STARPAPER,Star Paper Mills Limited,10,1,10
STCINDIA,The State Trading Corporation of India Limited,10,1,10
STEELXIND,STEEL EXCHANGE INDIA LIMITED,10,1,10
STEL,Stel Holdings Limited,10,1,10
STERTOOLS,Sterling Tools Limited,2,1,2
STINDIA,STI India Limited,10,1,10
STRTECH,Sterlite Technologies Limited,2,1,2
SUBCAPCITY,International Constructions Limited,10,1,10
SUBEX,Subex Limited,10,1,10
SUBROS,Subros Limited,2,1,2
SUDARSCHEM,Sudarshan Chemical Industries Limited,2,1,2
SUJANAUNI,Sujana Universal Industries Limited,10,1,10
SUMEETINDS,Sumeet Industries Limited,10,1,10
SUMMITSEC,Summit Securities Limited,10,1,10
SUNCLAYLTD,Sundaram Clayton Limited,5,1,5
SUNDARAM,Sundaram Multi Pap Limited,1,1,1
SUNDARMFIN,Sundaram Finance Limited,10,1,10
SUNDARMHLD,Sundaram Finance Holdings Limited,5,1,5
SUNDRMBRAK,Sundaram Brake Linings Limited,10,1,10
SUNDRMFAST,Sundram Fasteners Limited,1,1,1
SUNFLAG,Sunflag Iron And Steel Company Limited,10,1,10
SUNILHITEC,Sunil Hitech Engineers Limited,1,1,1
SUNPHARMA,Sun Pharmaceutical Industries Limited,1,1,1
SUNTECK,Sunteck Realty Limited,1,1,1
SUNTV,Sun TV Network Limited,5,1,5
SUPERHOUSE,Superhouse Limited,10,1,10
SUPERSPIN,Super Spinning Mills Limited,1,1,1
SUPPETRO,Supreme Petrochem Limited,10,1,10
SUPRAJIT,Suprajit Engineering Limited,1,1,1
SUPREMEIND,Supreme Industries Limited,2,1,2
SUPREMEINF,Supreme Infrastructure India Limited,10,1,10
SURANASOL,Surana Solar Limited,5,1,5
SURANAT&P,Surana Telecom and Power Limited,1,1,1
SURYALAXMI,Suryalakshmi Cotton Mills Limited,10,1,10
SURYAROSNI,Surya Roshni Limited,10,1,10
SUTLEJTEX,Sutlej Textiles and Industries Limited,1,1,1
SUVEN,Suven Life Sciences Limited,1,1,1
SUZLON,Suzlon Energy Limited,2,1,2
SWANENERGY,Swan Energy Limited,1,1,1
SWARAJENG,Swaraj Engines Limited,10,1,10
SWELECTES,Swelect Energy Systems Limited,10,1,10
SYMPHONY,Symphony Limited,2,1,2
SYNCOM,Syncom Healthcare Limited,10,1,10
SYNDIBANK,Syndicate Bank,10,1,10
SYNGENE,Syngene International Limited,10,1,10
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,10,1,10
TAJGVK,Taj GVK Hotels & Resorts Limited,2,1,2
TAKE,Take Solutions Limited,1,1,1
TALBROAUTO,Talbros Automotive Components Limited,10,1,10
TALWALKARS,Talwalkars Better Value Fitness Limited,10,1,10
TALWGYM,Talwalkars Healthclubs Limited,10,1,10
TANLA,Tanla Solutions Limited,1,1,1
TANTIACONS,Tantia Constructions Limited,10,1,10
TARAJEWELS,Tara Jewels Limited,10,1,10
TARAPUR,Tarapur Transformers Limited,10,1,10
TARMAT,Tarmat Limited,10,1,10
TASTYBITE,Tasty Bite Eatables Limited,10,1,10
TATACHEM,Tata Chemicals Limited,10,1,10
TATACOFFEE,Tata Coffee Limited,1,1,1
TATACOMM,Tata Communications Limited,10,1,10
TATAELXSI,Tata Elxsi Limited,10,1,10
TATAGLOBAL,Tata Global Beverages Limited,1,1,1
TATAINVEST,Tata Investment Corporation Limited,10,1,10
TATAMETALI,Tata Metaliks Limited,10,1,10
TATAMOTORS,Tata Motors Limited,2,1,2
TATAMTRDVR,Tata Motors Limited,2,1,2
TATAPOWER,Tata Power Company Limited,1,1,1
TATASPONGE,Tata Sponge Iron Limited,10,1,10
TATASTEEL,Tata Steel Limited,10,1,10
TATASTLBSL,Tata Steel Bsl Limited,2,1,2
TBZ,Tribhovandas Bhimji Zaveri Limited,10,1,10
TCI,Transport Corporation of India Limited,2,1,2
TCIDEVELOP,TCI Developers Limited,10,1,10
TCIEXP,TCI Express Limited,2,1,2
TCIFINANCE,TCI Finance Limited,10,1,10
TCNSBRANDS,TCNS Clothing Co. Limited,2,1,2
TCPLPACK,TCPL Packaging Limited,10,1,10
TCS,Tata Consultancy Services Limited,1,1,1
TDPOWERSYS,TD Power Systems Limited,10,1,10
TEAMLEASE,Teamlease Services Limited,10,1,10
TECHIN,Techindia Nirman Limited,10,1,10
TECHM,Tech Mahindra Limited,5,1,5
TECHNOE,Techno Electric & Engineering Company Limited,2,1,2
TECHNOFAB,Technofab Engineering Limited,10,1,10
TEJASNET,Tejas Networks Limited,10,1,10
TERASOFT,Tera Software Limited,10,1,10
TEXINFRA,Texmaco Infrastructure & Holdings Limited,1,1,1
TEXMOPIPES,Texmo Pipes and Products Limited,10,1,10
TEXRAIL,Texmaco Rail & Engineering Limited,1,1,1
TFCILTD,Tourism Finance Corporation of India Limited,10,1,10
TFL,Transwarranty Finance Limited,10,1,10
TGBHOTELS,TGB Banquets And Hotels Limited,10,1,10
THANGAMAYL,Thangamayil Jewellery Limited,10,1,10
THEINVEST,The Investment Trust Of India Limited,10,1,10
THEMISMED,Themis Medicare Limited,10,1,10
THERMAX,Thermax Limited,2,1,2
THIRUSUGAR,Thiru Arooran Sugars Limited,10,1,10
THOMASCOOK,Thomas Cook  (India)  Limited,1,1,1
THOMASCOTT,Thomas Scott (India) Limited,10,1,10
THYROCARE,Thyrocare Technologies Limited,10,1,10
TI,Tilaknagar Industries Limited,10,1,10
TIDEWATER,Tide Water Oil Company (India) Limited,5,1,5
TIFIN,TI Financial Holdings Limited,1,1,1
TIIL,Technocraft Industries (India) Limited,10,1,10
TIINDIA,Tube Investments of India Limited,1,1,1
TIJARIA,Tijaria Polypipes Limited,10,1,10
TIL,TIL Limited,10,1,10
TIMESGTY,Times Guaranty Limited,10,1,10
TIMETECHNO,Time Technoplast Limited,1,1,1
TIMKEN,Timken India Limited,10,1,10
TINPLATE,The Tinplate Company of India Limited,10,1,10
TIPSINDLTD,TIPS Industries Limited,10,1,10
TIRUMALCHM,Thirumalai Chemicals Limited,1,1,1
TITAN,Titan Company Limited,1,1,1
TMRVL,The Mandhana Retail Ventures Limited,10,1,10
TNPETRO,Tamilnadu PetroProducts Limited,10,1,10
TNPL,Tamil Nadu Newsprint & Papers Limited,10,1,10
TNTELE,Tamilnadu Telecommunication Limited,10,1,10
TOKYOPLAST,Tokyo Plast International Limited,10,1,10
TORNTPHARM,Torrent Pharmaceuticals Limited,5,1,5
TORNTPOWER,Torrent Power Limited,10,1,10
TPLPLASTEH,TPL Plastech Limited,10,1,10
TREEHOUSE,Tree House Education & Accessories Limited,10,1,10
TREJHARA,TREJHARA SOLUTIONS LIMITED,10,1,10
TRENT,Trent Limited,1,1,1
TRF,TRF Limited,10,1,10
TRIDENT,Trident Limited,10,1,10
TRIGYN,Trigyn Technologies Limited,10,1,10
TRIL,Transformers And Rectifiers (India) Limited,1,1,1
TRITURBINE,Triveni Turbine Limited,1,1,1
TRIVENI,Triveni Engineering & Industries Limited,1,1,1
TTKHLTCARE,TTK Healthcare Limited,10,1,10
TTKPRESTIG,TTK Prestige Limited,10,1,10
TTL,T T Limited,10,1,10
TTML,Tata Teleservices (Maharashtra) Limited,10,1,10
TV18BRDCST,TV18 Broadcast Limited,2,1,2
TVSELECT,TVS Electronics Limited,10,1,10
TVSMOTOR,TVS Motor Company Limited,1,1,1
TVSSRICHAK,TVS Srichakra Limited,10,1,10
TVTODAY,TV Today Network Limited,5,1,5
TVVISION,TV Vision Limited,10,1,10
TWL,Titagarh Wagons Limited,2,1,2
UBL,United Breweries Limited,1,1,1
UCALFUEL,Ucal Fuel Systems Limited,10,1,10
UCOBANK,UCO Bank,10,1,10
UFLEX,UFLEX Limited,10,1,10
UFO,UFO Moviez India Limited,10,1,10
UGARSUGAR,The Ugar Sugar Works Limited,1,1,1
UJAAS,Ujaas Energy Limited,1,1,1
UJJIVAN,Ujjivan Financial Services Limited,10,1,10
ULTRACEMCO,UltraTech Cement Limited,10,1,10
UMANGDAIRY,Umang Dairies Limited,5,1,5
UMESLTD,Usha Martin Education & Solutions Limited,1,1,1
UNICHEMLAB,Unichem Laboratories Limited,2,1,2
UNIENTER,Uniphos Enterprises Limited,2,1,2
UNIONBANK,Union Bank of India,10,1,10
UNIPLY,Uniply Industries Limited,2,1,2
UNITECH,Unitech Limited,2,1,2
UNITEDBNK,United Bank of India,10,1,10
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,10,1,10
UNITY,Unity Infraprojects Limited,2,1,2
UNIVCABLES,Universal Cables Limited,10,1,10
UPL,UPL Limited,2,1,2
URJA,Urja Global Limited,1,1,1
USHAMART,Usha Martin Limited,1,1,1
USHERAGRO,Usher Agro Limited,10,1,10
UTTAMSTL,Uttam Galva Steels Limited,10,1,10
UTTAMSUGAR,Uttam Sugar Mills Limited,10,1,10
UVSL,Uttam Value Steels Limited,1,1,1
V2RETAIL,V2 Retail Limited,10,1,10
VADILALIND,Vadilal Industries Limited,10,1,10
VAIBHAVGBL,Vaibhav Global Limited,10,1,10
VAKRANGEE,Vakrangee Limited,1,1,1
VARDHACRLC,Vardhman Acrylics Limited,10,1,10
VARDMNPOLY,Vardhman Polytex Limited,10,1,10
VARROC,Varroc Engineering Limited,1,1,1
VASCONEQ,Vascon Engineers Limited,10,1,10
VASWANI,Vaswani Industries Limited,10,1,10
VBL,Varun Beverages Limited,10,1,10
VEDL,Vedanta Limited,1,1,1
VENKEYS,Venky's (India) Limited,10,1,10
VENUSREM,Venus Remedies Limited,10,1,10
VESUVIUS,Vesuvius India Limited,10,1,10
VETO,Veto Switchgears And Cables Limited,10,1,10
VGUARD,V-Guard Industries Limited,1,1,1
VHL,Vardhman Holdings Limited,10,1,10
VICEROY,Viceroy Hotels Limited,10,1,10
VIDEOIND,Videocon Industries Limited,10,1,10
VIDHIING,Vidhi Specialty Food Ingredients Limited,1,1,1
VIJAYABANK,Vijaya Bank,10,1,10
VIJIFIN,Viji Finance Limited,1,1,1
VIJSHAN,Vijay Shanthi Builders Limited,10,1,10
VIKASECO,Vikas EcoTech Limited,1,1,1
VIMALOIL,Vimal Oil & Foods Limited,10,1,10
VIMTALABS,Vimta Labs Limited,2,1,2
VINATIORGA,Vinati Organics Limited,2,1,2
VINDHYATEL,Vindhya Telelinks Limited,10,1,10
VINYLINDIA,Vinyl Chemicals (India) Limited,1,1,1
VIPCLOTHNG,VIP Clothing Limited,2,1,2
VIPIND,VIP Industries Limited,2,1,2
VIPULLTD,Vipul Limited,1,1,1
VISAKAIND,Visaka Industries Limited,10,1,10
VISASTEEL,Visa Steel Limited,10,1,10
VISESHINFO,Visesh Infotecnics Limited,1,1,1
VISHNU,Vishnu Chemicals Limited,10,1,10
VIVIDHA,Visagar Polytex Limited,1,1,1
VIVIMEDLAB,Vivimed Labs Limited,2,1,2
VLSFINANCE,VLS Finance Limited,10,1,10
VMART,V-Mart Retail Limited,10,1,10
VOLTAMP,Voltamp Transformers Limited,10,1,10
VOLTAS,Voltas Limited,1,1,1
VRLLOG,VRL Logistics Limited,10,1,10
VSSL,Vardhman Special Steels Limited,10,1,10
VSTIND,VST Industries Limited,10,1,10
VSTTILLERS,V.S.T Tillers Tractors Limited,10,1,10
VTL,Vardhman Textiles Limited,10,1,10
WABAG,VA Tech Wabag Limited,2,1,2
WABCOINDIA,WABCO India Limited,5,1,5
WALCHANNAG,Walchandnagar Industries Limited,2,1,2
WANBURY,Wanbury Limited,10,1,10
WEBELSOLAR,Websol Energy System Limited,10,1,10
WEIZFOREX,Weizmann Forex Limited,10,1,10
WEIZMANIND,Weizmann Limited,10,1,10
WELCORP,Welspun Corp Limited,5,1,5
WELENT,Welspun Enterprises Limited,10,1,10
WELINV,Welspun Investments and Commercials Limited,10,1,10
WELSPUNIND,Welspun India Limited,1,1,1
WENDT,Wendt (India) Limited,10,1,10
WHEELS,Wheels India Limited,10,1,10
WHIRLPOOL,Whirlpool of India Limited,10,1,10
WILLAMAGOR,Williamson Magor & Company Limited,10,1,10
WINDMACHIN,Windsor Machines Limited,2,1,2
WINSOME,Winsome Yarns Limited,10,1,10
WIPL,The Western India Plywoods Limited,10,1,10
WIPRO,Wipro Limited,2,1,2
WOCKPHARMA,Wockhardt Limited,5,1,5
WONDERLA,Wonderla Holidays Limited,10,1,10
WSI,W S Industries (I) Limited,10,1,10
WSTCSTPAPR,West Coast Paper Mills Limited,2,1,2
XCHANGING,Xchanging Solutions Limited,10,1,10
XELPMOC,Xelpmoc Design And Tech Limited,10,1,10
XLENERGY,XL Energy Limited,10,1,10
XPROINDIA,Xpro India Limited,10,1,10
YESBANK,Yes Bank Limited,2,1,2
ZEEL,Zee Entertainment Enterprises Limited,1,1,1
ZEELEARN,Zee Learn Limited,1,1,1
ZEEMEDIA,Zee Media Corporation Limited,1,1,1
ZENITHBIR,Zenith Birla (India) Limited,10,1,10
ZENITHEXPO,Zenith Exports Limited,10,1,10
ZENSARTECH,Zensar Technologies Limited,2,1,2
ZENTEC,Zen Technologies Limited,1,1,1
ZICOM,Zicom Electronic Security Systems Limited,10,1,10
ZODIACLOTH,Zodiac Clothing Company Limited,10,1,10
ZODJRDMKJ,Zodiac JRD- MKJ Limited,10,1,10
ZUARI,Zuari Agro Chemicals Limited,10,1,10
ZUARIGLOB,Zuari Global Limited,10,1,10
ZYDUSWELL,Zydus Wellness Limited,10,1,10
